de Cervantes Saavedra	Miguel	Donde una puerta se cierra, otra se abre.
de Cervantes Saavedra	Miguel	Confía en el tiempo, que suele dar dulces salidas a muchas amargas dificultades
de cervantes Saavedra	Miguel	Come poco y cena menos, que la salud de todo el cuerpo se fragua en la oficina del estómago.
de Falero	Demetrio	Un hermano puede no ser un amigo, pero un amigo será siempre un hermano
de la Rochefoucauld	Francois	Si quieres tener enemigos, supera a tus amigos; si quieres tener amigos, deja que tus amigos te superen. 
de la Rochefoucauld	Francois	Cuando nuestro odio es demasiado profundo, nos coloca por debajo de aquellos a quienes odiamos. 
de la Rochefoucauld	Francois	No hay disfraz que pueda largo tiempo ocultar el amor donde lo hay, ni fingirlo donde no lo hay. 
de la Rochefoucauld	Francois	Para tener éxito debemos hacer todo lo posible por parecer exitosos. 
de la Rochefoucauld	Francois	La esperanza y el temor son inseparables y no hay temor sin esperanza, ni esperanza sin temor. 
de la Rochefoucauld	Francois	Los celos nacen del amor, pero no mueren con éste. 
de la Rochefoucauld	Francois	Hay muchos remedios que curan el amor; pero ninguno infalible. 
de la Rochefoucauld	Francois	El verdadero amor es como los espíritus: todos hablan de ellos, pero pocos los han visto
de Quevedo	Francisco	Nunca mejora su estado quien muda solamente de lugar y no de vida y de costumbres. 
de Quevedo	Francisco	El amigo ha de ser como la sangre, que acude luego a la herida sin esperar a que le llamen. 
de Quevedo	Francisco	Virtud envidiada es dos veces virtud. 
de Quevedo	Francisco	No hay amor sin temor de ofender o perder lo que se ama. 
de Quevedo	Francisco	El consejo, bueno es; pero creo que es de las medicinas que menos se gastan y se gustan. 
de Quevedo	Francisco	Lo mucho se vuelve poco con sólo desear otro poco más. 
de Quevedo	Francisco	Nadie ofrece tanto como el que no va a cumplir. 
de Quevedo	Francisco	El amor es la última filosofía de la tierra y del cielo. 
de Quevedo	Francisco	El que quiere de esta vida todas las cosas a su gusto, tendrá muchos disgustos. 
de Quevedo	Francisco	Los que de corazón se quieren sólo con el corazón se hablan. 
Einstein	Albert	Todos somos muy ignorantes. Lo que ocurre es que no todos ignoramos las mismas cosas.
Einstein	Albert	Vivimos en el mundo cuando amamos. Sólo una vida vivida para los demás merece la pena ser vivida.
Einstein	Albert	Educación es lo que queda después de olvidar lo que se ha aprendido en la escuela.
Einstein	Albert	No sé con qué armas se luchara en la tercera Guerra Mundial, pero sí sé con cuáles lo harán en la cuarta Guerra Mundial: Palos y mazas.
Einstein	Albert	No entiendes realmente algo a menos que seas capaz de explicarselo a tu abuela.
Einstein	Albert	Si buscas resultados distintos, no hagas siempre lo mismo.
Einstein	Albert	El que no posee el don de maravillarse ni de entusiasmarse más le valdría estar muerto, porque sus ojos están cerrados.
Einstein	Albert	Hay una fuerza motriz más poderosa que el vapor, la electricidad y la energía atómica: la voluntad.
Einstein	Albert	La única cosa realmente valiosa es la intuición.
Einstein	Albert	Si no puedo dibujarlo, es que no lo entiendo.
Einstein	Albert	Lo más incomprensible del mundo es que sea comprensible.
Einstein	Albert	Dar ejemplo no es la principal manera de influir sobre los demás; es la única manera.
Emerson	Ralph Waldo	Si sientes que todo perdió su sentido, siempre habrá un ¨te quiero¨, siempre habrá un amigo.
Emerson	Ralph Waldo	El éxito consiste en obtener lo que se desea. La felicidad, en disfrutar lo que se obtiene.
Emerson	Ralph Waldo	La confianza en sí mismo es el primer secreto del éxito.
Emerson	Ralph Waldo	Una acción es la perfección y la publicación del pensamiento.
Emerson	Ralph Waldo	¿Cuál es la tarea más difícil del mundo? Pensar.
Emerson	Ralph Waldo	Un amigo es una persona con la que se puede pensar en voz alta.
Freud	Sigmund	Existen dos maneras de ser feliz en esta vida, una es hacerse el idiota y la otra serlo. 
Freud	Sigmund	Uno es dueño de lo que calla y esclavo de lo que habla.<br /><br /> 
Frost	David	La televisión es un invento que permite que seas entretenido en tu salón por gente que nunca tendrías en casa. 
Frost	Robert Lee	Un poema comienza en deleite y termina en sabiduría. 
Frost	Robert Lee	El mejor camino para salir es siempre a través. 
Frost	Robert Lee	La mitad del mundo tiene algo que decir, pero no puede; la otra mitad no tiene nada que decir, pero no calla
Frost	Robert Lee	En dos palabras puedo resumir cuanto he aprendido acerca de la vida: Sigue adelante.
Frost	Robert Lee	Hay que amar lo que es digno de ser amado y odiar lo que es odioso, mas hace falta buen criterio para distinguir entre lo uno y lo otro
Frost	Robert Lee	La felicidad recupera en altura lo que le falta en longitud
Frost	Robert Lee	El jurado está compuesto por doce personas elegidas para decidir quien tiene el mejor abogado.
Frost	Robert Lee	En un bosque se bifurcaron dos caminos, y yo... Yo tomé el menos transitado. Esto marcó toda la diferencia
Frost	Robert Lee	El cerebro es un órgano maravilloso. Comienza a trabajar nada más levantarnos y no deja de funcionar hasta entrar en la oficina.
Frost	Robert Lee	El mejor camino para salir es siempre a través.
Frost	Robert Lee	A la pista de tenis se va a jugar al tenis, no a ver si las líneas son rectas.
Frost	Robert Lee	Un poema comienza en deleite y termina en sabiduría.
Fuentes	Carlos 	Necesito, luego imagino.
Fuentes	Carlos 	No existe la libertad, sino la búsqueda de la libertad, y esa búsqueda es la que nos hace libres.
Fulbright 	James William	No existe la libertad, sino la búsqueda de la libertad, y esa búsqueda es la que nos hace libres.
Fulbright 	James William	Para ser un hombre de estado, primero debes ser elegido.
Fuller	Thomas	Los médicos como la cerveza, mejor cuanto más viejos.
Fuller	Thomas	El hombre honesto no teme la luz ni la oscuridad. 
Fuller	Thomas	Cuando la pobreza entra por la puerta, el amor se escapa por la ventana.
Gaarder	Jostein	Al ser humano le parece tan extraño existir que las preguntas filosóficas surgen por sí solas. 
Galiani	Ferdinand	No temáis a los malvados. Tarde o temprano acaban por desenmascararse. 
Galilei	Galileo	Las matemáticas son el alfabeto con el cual Dios ha escrito el Universo. 
Galsworthy	John	Si no pensáis en el futuro, nunca lo tendréis. 
Gandhi	Mahatma	No hay camino para la paz, la paz es el camino. 
Gandhi	Mahatma	No debemos perder la fe en la humanidad que es como el océano: no se ensucia porque algunas de sus gotas estén sucias. 
Garcia Marquez	Gabriel	La peor forma de extrañar a alguien es estar sentado a su lado y saber que nunca lo podrás tener.
García Márquez	Gabriel	El secreto de una buena vejez no es otra cosa que un pacto honrado con la soledad. 
García Márquez	Gabriel	La peor forma de extrañar a alguien es estar sentado a su lado y saber que nunca lo podrás tener
García Márquez	Gabriel	La memoria del corazón elimina los malos recuerdos y magnifica los buenos, y gracias a ese artificio, logramos sobrellevar el pasado
García Márquez	Gabriel	El problema del matrimonio es que se acaba todas las noches después de hacer el amor, y hay que volver a reconstruirlo todas las mañanas antes del desayuno
García Márquez	Gabriel	Ningún lugar en la vida es más triste que una cama vacía
García Márquez	Gabriel	El día que la mierda tenga algún valor, los pobres nacerán sin culo
García Márquez	Gabriel	Hay que ser infiel, pero nunca desleal
García Márquez	Gabriel	Los seres humanos no nacen para siempre el día en que sus madres los alumbran, sino que la vida los obliga a parirse a sí mismos una y otra vez
García Márquez	Gabriel	Lo más importante que aprendí a hacer después de los cuarenta años fue a decir no cuando es no
García Márquez	Gabriel	No hay medicina que cure lo que no cura la felicidad
García Márquez	Gabriel	Me desconcierta tanto pensar que Dios existe, como que no existe
Geraldy	Paul	El más difícil no es el primer beso sino el último.
Goethe	Johann Wolfgang	El hombre más feliz del mundo es aquel que sepa reconocer los méritos de los demás y pueda alegrarse del bien ajeno como si fuera propio. 
Hubbard	Elbert	Un amigo es uno que lo sabe todo de ti y a pesar de ello te quiere
Moravia	Alberto	La amistad es más difícil y más rara que el amor. Por eso, hay que salvarla como sea.
Ortega y Gasset	José	hay quien ha venido al mundo para enamorarse de una sola mujer y, consecuentemente, no es probable que tropiece con ella.<br /><br /> 
Ortega y Gasset	José	la vida es una serie de colisiones con el futuro; no es una suma de lo que hemos sido, sino de lo que anhelamos ser.<br /><br /> 
Ortega y Gasset	José	No somos disparados a la existencia como una bala de fusil cuya trayectoria esta absolutamente determinada. Es falso decir que lo que nos determina son las circunstancias. Al contrario, las circunstancias son el dilema ante el cual tenemos que decidirnos. Pero el que decide es nuestro caracter 
Ortega y Gasset	José	El que no pueda lo que quiera, que quiera lo que pueda.<br /> 
Ortega y Gasset	José	La mayor parte de los hombres tiene una capacidad intelectual muy superior al ejercicio que hacen de ella. 
Ortega y Gasset	José	En tanto que haya alguien que crea en una idea, la idea vive. 
Ortega y Gasset	José	El pensamiento es la única cosa del Universo de la que no se puede negar su existencia: negar es pensar. 
Ortega y Gasset	José	Mientras el tigre no puede dejar de ser tigre, no puede destigrarse, el hombre vive en riesgo permanente de deshumanizarse. 
Ortega y Gasset	José	El mayor crimen está ahora, no en los que matan, sino en los que no matan pero dejan matar. 
Orwell	George	La libertad de expresión es decir lo que la gente no quiere oír. 
Orwell	George	En una época de engaño universal decir la verdad es un acto revolucionario. 
Orwell	George	La manera más rápida de finalizar una guerra es perderla. 
Ovidio		Así corrompe el ocio al cuerpo humano, como se corrompen las aguas si están quedas. 
Ovidio		No se desea lo que no se conoce. 
Ovidio		Mucho amor germina en la casualidad; tened siempre dispuesto el anzuelo, y en el sitio que menos lo esperáis encontraréis pesca. 
Ovidio		Ofrecer amistad al que pide amor es como dar pan al que muere de sed. 
Ovidio		La gota horada la roca, no por su fuerza sino por su constancia. 
Pablo VI		No desprecies el recuerdo del camino recorrido. Ello no retrasa vuestra carrera, sino que la dirige; el que olvida el punto de partida pierde fácilmente la meta. 
Pablo VI		Si quieres la paz, lucha por la justicia. 
Paine	Thomas	 Si ha de haber conflictos que sea mientras yo viva, que mi hijo pueda vivir en paz. 
Palacio Valdés	Armando	Cuando bordeamos un abismo y la noche es tenebrosa, el jinete sabio suelta las riendas y se entrega al instinto del caballo. 
Papini	Giovanni	Hay quien tiene el deseo de amar, pero no la capacidad de amar. 
Papini	Giovanni	El amor no es capaz de ver los lados malos de un ser; el odio no es capaz de ver los lados buenos. 
Papini	Giovanni	Todo hombre paga su grandeza con muchas pequeñeces, su victoria con muchas derrotas, su riqueza con múltiples quiebras. 
Papini	Giovanni	El dinero, que ha hecho morir a tantos cuerpos, hace morir todos los días a miles de almas. 
Paracelso 		Nada es veneno, todo es veneno: la diferencia está en la dosis.
Pascal	Blaise	Si no actúas como piensas, vas a terminar pensando como actúas.
Pascal	Blaise	El corazón tiene razones que la razón ignora.
Pascal	Blaise	El hombre está dispuesto siempre a negar todo aquello que no comprende.
Pascal	Blaise	La grandeza de un hombre está en saber reconocer su propia pequeñez.
Pascal	Blaise	Cuando no se ama demasiado no se ama lo suficiente.
Pascal	Blaise	La felicidad es un artículo maravilloso: cuanto más se da, más le queda a uno.
Pascal	Blaise	Muy débil es la razón sino llega a comprender que hay muchas cosas que la sobrepasan.
Pascal	Blaise	Estando siempre dispuestos a ser felices, es inevitable no serlo alguna vez.
Pascal	Blaise	El hombre tiene ilusiones como el pájaro alas. Eso es lo que lo sostiene.
Pascal	Blaise	La naturaleza tiene perfecciones para demostrar que es imagen de Dios e imperfecciones para probar que sólo es una imagen. 
Pasteur	Louis	Sorprendernos por algo es el primer paso de la mente hacia el descubrimiento.
Paz	Octavio	La mucha luz es como la mucha sombra: no deja ver. 
Perich	Jaume	La gente joven está convencida de que posee la verdad. Desgraciadamente, cuando logran imponerla ya ni son jóvenes ni es verdad.<br /> 
Perich	Jaume	Todo el mundo desea ser feliz, pero no que lo sea todo el mundo.<br /> 
Proverbio		 No puedes evitar que el pájaro de la tristeza vuele sobre tu cabeza, pero sí puedes evitar que anide en tu cabellera. 
Proverbio		 Es una locura amar, a menos de que se ame con locura. 
Proverbio		 La sonrisa cuesta menos que la electricidad y da más luz. 
Proverbio		 Cuando te inunde una enorme alegría, no prometas nada a nadie. Cuando te domine un gran enojo, no contestes ninguna carta. 
Proverbio		 Duerme con el pensamiento de la muerte y levántate con el pensamiento de que la vida es corta. 
Proverbio		 Estaba furioso de no tener zapatos; entonces encontré a un hombre que no tenía píes, y me sentí contento de mi mismo. 
Proverbio		 El sabio puede sentarse en un hormiguero, pero sólo el necio se queda sentado en él. 
Proverbio		 El corazón es un niño: espera lo que desea. 
Proverbio		 Antes de poner en duda el buen juicio de tu mujer, fíjate con quien se ha casado ella. 
Proverbio		 ¡Caer está permitido. Levantarse es obligatorio!. 
Proverbio americano	Coherencia	Si quieres miel no des puntapiés sobre la colmena.
Proverbio árabe	Comprensión	Quien no comprende una mirada tampoco comprenderá una larga explicación. 
Proverbio árabe	Comprensión	Quien no comprende una mirada tampoco comprenderá una larga explicación 
Proverbio árabe	Corazón	La gente se arregla todos los días el cabello. ¿Por qué no el corazón? 
Proverbio árabe	Hablar	Si lo que vas a decir no es más bello que el silencio: no lo digas 
Proverbio árabe	Libros	Un libro es como un jardín que se lleva en el bolsillo.
Proverbio árabe	Modestia	El hombre no puede saltar fuera de su sombra.
Proverbio árabe	Presente	Lo pasado ha huido, lo que esperas está ausente, pero el presente es tuyo .
Proverbio árabe		Castiga a los que tienen envidia haciéndoles bien.
Proverbio chino	Comprensión	Si te caes siete veces, levántate ocho 
Proverbio chino	Grandeza	Las grandes almas tienen voluntades; las débiles tan solo deseos 
Proverbio chino	Gratitud	Cuando bebas agua, recuerda la fuente.
Proverbio chino	Hacer	 Si quieres que algo se haga, encárgaselo a una persona ocupada.
Proverbio chino		El trabajo del pensamiento se parece a la perforación de un pozo: el agua es turbia al principio, mas luego se clarifica.
Proverbio griego		Mientras el tímido reflexiona, el valiente va, triunfa y vuelve.
Proverbio hindú	 Libros	Un libro abierto es un cerebro que habla; cerrado un amigo que espera; olvidado, un alma que perdona; destruido, un corazón que llora 
Proverbio hindú		Con mis maestros he aprendido mucho; con mis colegas, más; con mis alumnos todavía más.
Proverbio hindú		Cuando hables, procura que tus palabras sean mejores que el silencio.
Proverbio holandés	Adaptabilidad	No puede impedirse el viento. Pero pueden construirse molinos.
Proverbio indio	Amigos	 Recorre a menudo la senda que lleva al huerto de tu amigo, no sea que la maleza te impida ver el camino.
Proverbio irlandés		Las lágrimas derramadas son amargas, pero más amargas son las que no se derraman.
Proverbio italiano	Amor	El amor y la tos no pueden ocultarse.
Proverbio italiano	Vida	Una vez terminado el juego el rey y el peón vuelven a la misma caja.
Proverbio italiano		El amor hace pasar el tiempo; el tiempo hace pasar el amor
Proverbio japonés		Es mejor viajar lleno de esperanza que llegar.
Proverbio judío		Con una mentira suele irse muy lejos, pero sin esperanzas de volver.
Proverbio oriental		Gobierna tu casa y sabrás cuánto cuesta la leña y el arroz; cría a tus hijos, y sabrás cuánto debes a tus padres.
Proverbio persa	 Paciencia	La primera vez que me engañes, será culpa tuya; la segunda vez, la culpa será mía 
Proverbio persa	Silencio	La arena del desierto es para el viajero fatigado lo mismo que la conversación incesante para el amante del silencio.
Proverbio turco	 Amistad	El que busca un amigo sin defectos se queda sin amigos 
Proverbio turco		El que busca un amigo sin defectos se queda sin amigos
Renard	Jules	De vez en cuando di la verdad para que te crean cuando mientes. 
Renard	Jules	Hay momentos en los que todo va bien: no te asustes, no duran. 
Renard	Jules	Si el dinero no te da la felicidad devuélvelo. 
Rousseau	Jean Jacques	Las cartas de amor se escriben empezando sin saber lo que se va a decir, y se terminan sin saber lo que se ha dicho. 
Rousseau	Jean Jacques	Un hombre honrado no encontrará jamás una amiga mejor que su esposa. 
Rousseau	Jean Jacques	El hombre que más ha vivido no es aquel que más años ha cumplido, sino aquel que más ha experimentado la vida. 
Rousseau	Jean Jacques	El alma resiste mucho mejor los dolores agudos que la tristeza prolongada. 
